"FilePath","PackageManager","PackageName","Version","Vulnerable","Details","MinimumPatchedVersion","LatestVersion","Status"
"C:\Users\artl\src\templates\angular\angular\ClientApp\package.json","npm","@angular/platform-browser-dynamic","15.2.8","False","No vulnerabilities reported by npm audit for @angular/platform-browser-dynamic@15.2.8",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@angular-devkit\build-angular\package.json","npm","@angular/platform-server","15.0.0","False","No vulnerabilities reported by npm audit for @angular/platform-server@15.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\package.json","npm","@angular/platform-server","15.2.8","False","No vulnerabilities reported by npm audit for @angular/platform-server@15.2.8",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\package.json","npm","@angular/router","15.2.8","False","No vulnerabilities reported by npm audit for @angular/router@15.2.8",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@angular-devkit\build-angular\package.json","npm","@angular/service-worker","15.0.0","False","No vulnerabilities reported by npm audit for @angular/service-worker@15.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\hasown\package.json","npm","@arethetypeswrong/cli","0.15.1","False","No vulnerabilities reported by npm audit for @arethetypeswrong/cli@0.15.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\hdr-histogram-js\package.json","npm","@as-pect/cli","4.0.0","False","No vulnerabilities reported by npm audit for @as-pect/cli@4.0.0",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\hdr-histogram-js\package.json","npm","@assemblyscript/loader","0.10.1","False","No vulnerabilities reported by npm audit for @assemblyscript/loader@0.10.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@popperjs\core\package.json","npm","@atomico/rollup-plugin-sizes","1.1.4","False","No vulnerabilities reported by npm audit for @atomico/rollup-plugin-sizes@1.1.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\babel-loader\package.json","npm","@ava/babel","1.0.1","False","No vulnerabilities reported by npm audit for @ava/babel@1.0.1",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@xtuc\ieee754\package.json","npm","@babel/cli","7.0.0-beta.54","False","No vulnerabilities reported by npm audit for @babel/cli@7.0.0-beta.54",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\cosmiconfig\package.json","npm","@babel/cli","7.10.4","False","No vulnerabilities reported by npm audit for @babel/cli@7.10.4",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\postcss-selector-parser\package.json","npm","@babel/cli","7.11.6","False","No vulnerabilities reported by npm audit for @babel/cli@7.11.6",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\@popperjs\core\package.json","npm","@babel/cli","7.12.17","False","No vulnerabilities reported by npm audit for @babel/cli@7.12.17",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack\node_modules\schema-utils\package.json","npm","@babel/cli","7.14.3","False","No vulnerabilities reported by npm audit for @babel/cli@7.14.3",,"N/A","Current"
"C:\Users\artl\src\templates\angular\angular\ClientApp\node_modules\webpack\node_modules\acorn-import-assertions\package.json","npm","@babel/cli","7.14.8","False","No vulnerabilities reported by npm audit for @babel/cli@7.14.8",,"N/A","Current"
